site,date,timeEST,pH,DIC,spCond,temp,ANC960,ANCMet,precipCatch,fieldCode,notes,uniqueID,waterYr,Ca,Mg,K,Na,TMAl,OMAl,Al_ICP,NH4,SO4,NO3,Cl,PO4,DOC,TDN,DON,SiO2,Mn,Fe,F,cationCharge,anionCharge,ionError,duplicate,sampleType,ionBalance,canonical,pHmetrohm
S,1963-07-10,NA,4.25,NA,NA,NA,NA,NA,NA,NA,0,S_19630710_NA,1963,0.3,0.07,0.1,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630716_NA,1963,0.19,0.03,0.1,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630724_NA,1963,0.35,0.04,0.11,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630801_NA,1963,0.29,0.1,0.16,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630807_NA,1963,0.14,0.02,0.06,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630814_NA,1963,0.12,0.03,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630821_NA,1963,0.14,0.03,0.09,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-08-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630828_NA,1963,0.54,0.12,0.09,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-08-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630830_NA,1963,0.15,0.06,0.19,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630904_NA,1963,0.13,0.04,0.12,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630930_NA,1963,0.21,0.09,0.57,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-10-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19631007_NA,1963,0.43,0.09,0.9,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19631101_NA,1963,0.75,0.16,0.88,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19631104_NA,1963,0.65,0.28,1.66,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19631107_NA,1963,0.11,0.16,0.66,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19631110_NA,1963,0.04,0.01,0.18,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19631118_NA,1963,0.04,0.01,0.01,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19631202_NA,1963,0.1,0.06,0.13,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19631216_NA,1963,0.1,0.02,0.46,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640106_NA,1963,0.2,0.02,0.08,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640113_NA,1963,0.06,0.02,0.01,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640120_NA,1963,0.19,0.03,0.05,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640127_NA,1963,0.04,0.01,0.03,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640204_NA,1963,0.09,0.05,0.07,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640210_NA,1963,0.34,0.06,0.14,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640217_NA,1963,0.05,0.02,0.02,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640309_NA,1963,0.17,0.03,0.07,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640316_NA,1963,0.28,0.07,0.05,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640330_NA,1963,0.22,0.04,0.04,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640406_NA,1963,0.23,0.05,0.04,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640413_NA,1963,0.21,0.04,0.04,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640420_NA,1963,0.89,0.14,0.06,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
