DATACODE,RECTYPE,RecYear,RecMonth,RecDay,WATERSHED,RecTime,PRESERVATIVES,NO3,NH4,TN,SRP,TP,DOC,COMMENTS
NWC01,1,1983,4,8,001d,1615,y,0,.,.,.,.,.,
NWC01,1,1983,4,8,002d,1620,y,4,.,.,.,.,.,
NWC01,1,1983,4,8,n01b,1550,y,69,.,.,.,.,.,
NWC01,1,1983,4,8,n04d,1530,y,10,.,.,.,.,.,
NWC01,1,1983,4,20,001d,1615,y,0.8,.,.,.,.,.,sp cond not calculated
NWC01,1,1983,4,20,002d,1620,y,0,.,.,.,.,.,sp cond not calculated
NWC01,1,1983,4,20,n01b,1645,y,36.1,.,.,.,.,.,sp con not calculated
NWC01,1,1983,4,20,n04d,1650,y,0.9,.,.,.,.,.,sp cond not calculated
NWC01,1,1983,4,28,001d,1600,y,1,.,.,.,.,.,
NWC01,1,1983,4,28,002d,1605,y,2,.,.,.,.,.,
NWC01,1,1983,4,28,n01b,1645,y,17,.,.,.,.,.,
NWC01,1,1983,4,28,n04d,1700,y,2,.,.,.,.,.,
NWC01,1,1983,5,7,001d,.,y,.,.,.,.,.,.,no3 not detectable
NWC01,1,1983,5,7,002d,.,y,.,.,.,.,.,.,no3 not detectable
NWC01,1,1983,5,7,n01b,.,y,22.3,.,.,.,.,.,
NWC01,1,1983,5,7,n04d,.,y,1.8,.,.,.,.,.,
NWC01,1,1983,5,19,001d,.,y,0.5,.,.,.,.,.,
NWC01,1,1983,5,19,002d,.,y,0.5,.,.,.,.,.,
NWC01,1,1983,5,19,n01b,.,n,20.6,.,.,.,.,.,
NWC01,1,1983,5,19,n04d,.,n,1.4,.,.,.,.,.,
NWC01,1,1983,5,25,001d,930,y,0,.,.,.,.,.,
NWC01,1,1983,5,25,002d,920,y,1,.,.,.,.,.,
NWC01,1,1983,5,25,n01b,850,y,23.4,.,.,.,.,.,
NWC01,1,1983,5,25,n04d,830,y,2.8,.,.,.,.,.,
NWC01,1,1983,5,31,001d,840,n,.,.,.,.,.,.,
NWC01,1,1983,5,31,001d,840,y,0.3,.,.,.,.,.,
NWC01,1,1983,5,31,002d,840,n,.,.,.,.,.,.,
NWC01,1,1983,5,31,002d,840,y,1.7,.,.,.,.,.,
NWC01,1,1983,5,31,n01b,810,n,.,.,.,.,.,.,
NWC01,1,1983,5,31,n01b,810,y,15,.,.,.,.,.,
NWC01,1,1983,5,31,n04d,900,n,.,.,.,.,.,.,
NWC01,1,1983,5,31,n04d,900,y,2.2,.,.,.,.,.,
NWC01,1,1983,5,31,n04d,910,n,.,.,.,.,.,.,flume site
NWC01,1,1983,5,31,n04d,910,y,12.7,.,.,.,.,.,flume site
NWC01,1,1983,6,3,001d,850,n,.,.,.,.,.,.,
NWC01,1,1983,6,3,001d,850,y,1.2,.,.,.,.,.,
NWC01,1,1983,6,3,002d,840,n,.,.,.,.,.,.,
NWC01,1,1983,6,3,002d,840,y,3.6,.,.,.,.,.,
NWC01,1,1983,6,3,n01b,820,n,.,.,.,.,.,.,
NWC01,1,1983,6,3,n01b,820,y,10.9,.,.,.,.,.,
NWC01,1,1983,6,3,n04d,805,n,.,.,.,.,.,.,
